Namespace(b1=0.5, b2=0.999, batch_size=64, channels=3, img_size=128, latent_dim=100, lr=0.0002, n_cpu=8, n_epochs=200, sample_interval=400)
[Epoch 0/200] [Batch 0/27] [D loss: 0.693219] [G loss: 0.695328]
[Epoch 0/200] [Batch 1/27] [D loss: 0.693144] [G loss: 0.694663]
[Epoch 0/200] [Batch 2/27] [D loss: 0.693180] [G loss: 0.694099]
[Epoch 0/200] [Batch 3/27] [D loss: 0.693167] [G loss: 0.693473]
[Epoch 0/200] [Batch 4/27] [D loss: 0.693143] [G loss: 0.693148]
[Epoch 0/200] [Batch 5/27] [D loss: 0.693115] [G loss: 0.693035]
[Epoch 0/200] [Batch 6/27] [D loss: 0.693085] [G loss: 0.692936]
[Epoch 0/200] [Batch 7/27] [D loss: 0.693187] [G loss: 0.693043]
[Epoch 0/200] [Batch 8/27] [D loss: 0.693134] [G loss: 0.693124]
[Epoch 0/200] [Batch 9/27] [D loss: 0.693164] [G loss: 0.693195]
[Epoch 0/200] [Batch 10/27] [D loss: 0.693099] [G loss: 0.693318]
[Epoch 0/200] [Batch 11/27] [D loss: 0.693158] [G loss: 0.693221]
[Epoch 0/200] [Batch 12/27] [D loss: 0.693126] [G loss: 0.693196]
[Epoch 0/200] [Batch 13/27] [D loss: 0.693094] [G loss: 0.693133]
[Epoch 0/200] [Batch 14/27] [D loss: 0.693142] [G loss: 0.693089]
[Epoch 0/200] [Batch 15/27] [D loss: 0.693157] [G loss: 0.693134]
[Epoch 0/200] [Batch 16/27] [D loss: 0.693130] [G loss: 0.693141]
[Epoch 0/200] [Batch 17/27] [D loss: 0.693060] [G loss: 0.693273]
[Epoch 0/200] [Batch 18/27] [D loss: 0.693205] [G loss: 0.693180]
[Epoch 0/200] [Batch 19/27] [D loss: 0.693039] [G loss: 0.693239]
[Epoch 0/200] [Batch 20/27] [D loss: 0.693110] [G loss: 0.693131]
[Epoch 0/200] [Batch 21/27] [D loss: 0.692987] [G loss: 0.693252]
[Epoch 0/200] [Batch 22/27] [D loss: 0.692984] [G loss: 0.693144]
[Epoch 0/200] [Batch 23/27] [D loss: 0.692957] [G loss: 0.693423]
[Epoch 0/200] [Batch 24/27] [D loss: 0.692543] [G loss: 0.693329]
[Epoch 0/200] [Batch 25/27] [D loss: 0.692788] [G loss: 0.693507]
[Epoch 0/200] [Batch 26/27] [D loss: 0.692905] [G loss: 0.693494]
[Epoch 1/200] [Batch 0/27] [D loss: 0.692853] [G loss: 0.692759]
[Epoch 1/200] [Batch 1/27] [D loss: 0.692623] [G loss: 0.691972]
[Epoch 1/200] [Batch 2/27] [D loss: 0.692082] [G loss: 0.692225]
[Epoch 1/200] [Batch 3/27] [D loss: 0.694554] [G loss: 0.690474]
[Epoch 1/200] [Batch 4/27] [D loss: 0.693395] [G loss: 0.691809]
[Epoch 1/200] [Batch 5/27] [D loss: 0.694857] [G loss: 0.693445]
[Epoch 1/200] [Batch 6/27] [D loss: 0.692761] [G loss: 0.694050]
