Namespace(b1=0.5, b2=0.999, batch_size=64, channels=3, img_size=128, latent_dim=100, lr=0.001, n_cpu=8, n_epochs=200, sample_interval=400)
[Epoch 0/200] [Batch 0/27] [D loss: 0.693136] [G loss: 0.690783]
[Epoch 0/200] [Batch 1/27] [D loss: 0.693129] [G loss: 0.693618]
[Epoch 0/200] [Batch 2/27] [D loss: 0.693063] [G loss: 0.694258]
[Epoch 0/200] [Batch 3/27] [D loss: 0.692721] [G loss: 0.692980]
[Epoch 0/200] [Batch 4/27] [D loss: 0.692477] [G loss: 0.692455]
[Epoch 0/200] [Batch 5/27] [D loss: 0.693176] [G loss: 0.691665]
[Epoch 0/200] [Batch 6/27] [D loss: 0.690662] [G loss: 0.691175]
[Epoch 0/200] [Batch 7/27] [D loss: 0.692966] [G loss: 0.676381]
[Epoch 0/200] [Batch 8/27] [D loss: 0.693576] [G loss: 0.675657]
[Epoch 0/200] [Batch 9/27] [D loss: 0.689585] [G loss: 0.682337]
[Epoch 0/200] [Batch 10/27] [D loss: 0.685655] [G loss: 0.714363]
[Epoch 0/200] [Batch 11/27] [D loss: 0.719019] [G loss: 0.699799]
[Epoch 0/200] [Batch 12/27] [D loss: 0.687319] [G loss: 0.730996]
[Epoch 0/200] [Batch 13/27] [D loss: 0.692532] [G loss: 0.729497]
[Epoch 0/200] [Batch 14/27] [D loss: 0.691273] [G loss: 0.706851]
[Epoch 0/200] [Batch 15/27] [D loss: 0.688490] [G loss: 0.704510]
[Epoch 0/200] [Batch 16/27] [D loss: 0.690577] [G loss: 0.696009]
[Epoch 0/200] [Batch 17/27] [D loss: 0.691424] [G loss: 0.690650]
[Epoch 0/200] [Batch 18/27] [D loss: 0.690812] [G loss: 0.695139]
[Epoch 0/200] [Batch 19/27] [D loss: 0.681727] [G loss: 0.710029]
[Epoch 0/200] [Batch 20/27] [D loss: 0.680089] [G loss: 0.728380]
[Epoch 0/200] [Batch 21/27] [D loss: 0.684592] [G loss: 0.742798]
[Epoch 0/200] [Batch 22/27] [D loss: 0.671412] [G loss: 0.757118]
[Epoch 0/200] [Batch 23/27] [D loss: 0.678289] [G loss: 0.740612]
[Epoch 0/200] [Batch 24/27] [D loss: 0.669114] [G loss: 0.750211]
[Epoch 0/200] [Batch 25/27] [D loss: 0.647829] [G loss: 0.889171]
[Epoch 0/200] [Batch 26/27] [D loss: 0.684823] [G loss: 0.817740]
[Epoch 1/200] [Batch 0/27] [D loss: 0.683887] [G loss: 0.697679]
[Epoch 1/200] [Batch 1/27] [D loss: 0.725017] [G loss: 0.592046]
[Epoch 1/200] [Batch 2/27] [D loss: 0.690566] [G loss: 0.607642]
[Epoch 1/200] [Batch 3/27] [D loss: 0.732542] [G loss: 0.588328]
[Epoch 1/200] [Batch 4/27] [D loss: 0.687312] [G loss: 0.648123]
[Epoch 1/200] [Batch 5/27] [D loss: 0.709971] [G loss: 0.638098]
[Epoch 1/200] [Batch 6/27] [D loss: 0.687612] [G loss: 0.731024]
[Epoch 1/200] [Batch 7/27] [D loss: 0.668675] [G loss: 0.782546]
[Epoch 1/200] [Batch 8/27] [D loss: 0.654710] [G loss: 0.789928]
[Epoch 1/200] [Batch 9/27] [D loss: 0.634142] [G loss: 0.839402]
[Epoch 1/200] [Batch 10/27] [D loss: 0.635034] [G loss: 0.789076]
[Epoch 1/200] [Batch 11/27] [D loss: 0.733330] [G loss: 0.668544]
[Epoch 1/200] [Batch 12/27] [D loss: 0.645998] [G loss: 0.645326]
[Epoch 1/200] [Batch 13/27] [D loss: 0.638160] [G loss: 0.669308]
[Epoch 1/200] [Batch 14/27] [D loss: 0.684416] [G loss: 0.626997]
[Epoch 1/200] [Batch 15/27] [D loss: 0.690254] [G loss: 0.594642]
[Epoch 1/200] [Batch 16/27] [D loss: 0.699773] [G loss: 0.714767]
[Epoch 1/200] [Batch 17/27] [D loss: 0.701955] [G loss: 0.782289]
[Epoch 1/200] [Batch 18/27] [D loss: 0.689813] [G loss: 0.771344]
[Epoch 1/200] [Batch 19/27] [D loss: 0.723511] [G loss: 0.704080]
[Epoch 1/200] [Batch 20/27] [D loss: 0.663519] [G loss: 0.784726]
[Epoch 1/200] [Batch 21/27] [D loss: 0.719247] [G loss: 0.826790]
[Epoch 1/200] [Batch 22/27] [D loss: 0.728098] [G loss: 0.933416]
[Epoch 1/200] [Batch 23/27] [D loss: 0.687838] [G loss: 0.902824]
[Epoch 1/200] [Batch 24/27] [D loss: 0.649849] [G loss: 0.834035]
[Epoch 1/200] [Batch 25/27] [D loss: 0.660540] [G loss: 0.857293]
[Epoch 1/200] [Batch 26/27] [D loss: 0.642114] [G loss: 0.867399]
[Epoch 2/200] [Batch 0/27] [D loss: 0.621400] [G loss: 0.951335]
[Epoch 2/200] [Batch 1/27] [D loss: 0.686086] [G loss: 0.737946]
[Epoch 2/200] [Batch 2/27] [D loss: 0.688259] [G loss: 0.761665]
[Epoch 2/200] [Batch 3/27] [D loss: 0.679370] [G loss: 0.663115]
[Epoch 2/200] [Batch 4/27] [D loss: 0.669425] [G loss: 0.564651]
[Epoch 2/200] [Batch 5/27] [D loss: 0.546739] [G loss: 0.618532]
[Epoch 2/200] [Batch 6/27] [D loss: 0.493996] [G loss: 0.595251]
[Epoch 2/200] [Batch 7/27] [D loss: 0.599029] [G loss: 0.619621]
[Epoch 2/200] [Batch 8/27] [D loss: 0.870764] [G loss: 0.964482]
[Epoch 2/200] [Batch 9/27] [D loss: 0.793096] [G loss: 1.298690]
[Epoch 2/200] [Batch 10/27] [D loss: 0.740573] [G loss: 1.294549]
[Epoch 2/200] [Batch 11/27] [D loss: 0.704821] [G loss: 1.003600]
[Epoch 2/200] [Batch 12/27] [D loss: 0.674148] [G loss: 0.845587]
[Epoch 2/200] [Batch 13/27] [D loss: 0.635909] [G loss: 0.808719]
[Epoch 2/200] [Batch 14/27] [D loss: 0.676669] [G loss: 0.707832]
[Epoch 2/200] [Batch 15/27] [D loss: 0.650911] [G loss: 0.674161]
[Epoch 2/200] [Batch 16/27] [D loss: 0.692762] [G loss: 0.631118]
[Epoch 2/200] [Batch 17/27] [D loss: 0.645706] [G loss: 0.753299]
[Epoch 2/200] [Batch 18/27] [D loss: 0.656049] [G loss: 0.801029]
[Epoch 2/200] [Batch 19/27] [D loss: 0.664771] [G loss: 0.759353]
[Epoch 2/200] [Batch 20/27] [D loss: 0.633090] [G loss: 0.743055]
[Epoch 2/200] [Batch 21/27] [D loss: 0.629439] [G loss: 0.804271]
[Epoch 2/200] [Batch 22/27] [D loss: 0.671851] [G loss: 0.837330]
[Epoch 2/200] [Batch 23/27] [D loss: 0.637567] [G loss: 1.103733]
[Epoch 2/200] [Batch 24/27] [D loss: 0.675817] [G loss: 1.019956]
[Epoch 2/200] [Batch 25/27] [D loss: 0.662567] [G loss: 0.829835]
[Epoch 2/200] [Batch 26/27] [D loss: 0.749940] [G loss: 0.667575]
[Epoch 3/200] [Batch 0/27] [D loss: 0.677071] [G loss: 0.721693]
[Epoch 3/200] [Batch 1/27] [D loss: 0.670615] [G loss: 0.713317]
[Epoch 3/200] [Batch 2/27] [D loss: 0.650913] [G loss: 0.844624]
[Epoch 3/200] [Batch 3/27] [D loss: 0.606193] [G loss: 0.782502]
[Epoch 3/200] [Batch 4/27] [D loss: 0.528453] [G loss: 0.898926]
[Epoch 3/200] [Batch 5/27] [D loss: 0.555594] [G loss: 0.981790]
[Epoch 3/200] [Batch 6/27] [D loss: 0.594194] [G loss: 0.721674]
[Epoch 3/200] [Batch 7/27] [D loss: 0.622622] [G loss: 0.775771]
[Epoch 3/200] [Batch 8/27] [D loss: 0.646071] [G loss: 0.780585]
[Epoch 3/200] [Batch 9/27] [D loss: 0.653434] [G loss: 0.935198]
[Epoch 3/200] [Batch 10/27] [D loss: 0.703067] [G loss: 0.935346]
[Epoch 3/200] [Batch 11/27] [D loss: 0.679031] [G loss: 0.785125]
[Epoch 3/200] [Batch 12/27] [D loss: 0.598347] [G loss: 0.788463]
[Epoch 3/200] [Batch 13/27] [D loss: 0.652739] [G loss: 0.703050]
[Epoch 3/200] [Batch 14/27] [D loss: 0.568240] [G loss: 0.785471]
[Epoch 3/200] [Batch 15/27] [D loss: 0.575852] [G loss: 0.885094]
[Epoch 3/200] [Batch 16/27] [D loss: 0.576119] [G loss: 0.859037]
[Epoch 3/200] [Batch 17/27] [D loss: 1.165181] [G loss: 0.190152]
[Epoch 3/200] [Batch 18/27] [D loss: 0.835739] [G loss: 0.824965]
[Epoch 3/200] [Batch 19/27] [D loss: 0.625450] [G loss: 1.654896]
[Epoch 3/200] [Batch 20/27] [D loss: 0.493330] [G loss: 1.356261]
[Epoch 3/200] [Batch 21/27] [D loss: 0.458555] [G loss: 1.040273]
[Epoch 3/200] [Batch 22/27] [D loss: 0.299109] [G loss: 1.205749]
[Epoch 3/200] [Batch 23/27] [D loss: 0.367903] [G loss: 1.021029]
[Epoch 3/200] [Batch 24/27] [D loss: 0.497762] [G loss: 0.914385]
[Epoch 3/200] [Batch 25/27] [D loss: 0.643614] [G loss: 1.176619]
[Epoch 3/200] [Batch 26/27] [D loss: 0.742445] [G loss: 1.246141]
[Epoch 4/200] [Batch 0/27] [D loss: 1.288574] [G loss: 1.234513]
[Epoch 4/200] [Batch 1/27] [D loss: 0.701872] [G loss: 0.630998]
[Epoch 4/200] [Batch 2/27] [D loss: 0.726972] [G loss: 1.501505]
[Epoch 4/200] [Batch 3/27] [D loss: 0.628175] [G loss: 1.096489]
[Epoch 4/200] [Batch 4/27] [D loss: 0.657577] [G loss: 0.838467]
[Epoch 4/200] [Batch 5/27] [D loss: 0.710094] [G loss: 0.870393]
[Epoch 4/200] [Batch 6/27] [D loss: 0.610866] [G loss: 0.968474]
[Epoch 4/200] [Batch 7/27] [D loss: 0.666845] [G loss: 1.031104]
[Epoch 4/200] [Batch 8/27] [D loss: 0.524938] [G loss: 1.129170]
